1343;Leidinggevende functies op het gebied van ouderenzorg;zorgmanager ouderenzorg, manager verpleeghuis, manager bejaardentehuis, leider militair tehuis;;;
1344;Leidinggevende functies op het gebied van maatschappelijk werk;zorgmanager jeugdzorg, zorgmanager instelling maatschappelijk werk, manager welzijnsinstelling, manager maatschappelijke zorg;;;
1345;Leidinggevende functies op het gebied van onderwijs;schoolleider speciaal onderwijs (niet lesgevend), rector school voor voortgezet onderwijs, manager volksuniversiteit, volkshogeschool, manager universiteit, manager onderwijskundig onderzoeksbureau, manager landbouw-, natuur-, milieu-educatieve organisaties, manager instelling voor beroepsonderwijs, hoofd landbouwonderwijs en -wetenschappen, directeur basisonderwijs, bovenschoolsmanager;;;
1346;Filiaalhouders op het gebied van financiële en verzekeringsdiensten;manager verzekeringsmaatschappij, manager fiscaal adviesbureau, manager bankbedrijf, manager assurantiekantoor, kantoordirecteur bankbedrijf, filiaalmanager postkantoor, clustermanager postkantoor;;;
1349;Leidinggevende functies op het gebied van professionele diensten, niet elders geclassificeerd;technisch directeur, manager uitgeverij, manager tolken-, vertaalbureau, manager radiostation, manager postproductie media, manager persbureau, manager museum, manager loonbedrijf, manager landbouwmechanisatiebedrijf, manager industrieel ontwerpbureau, manager grafisch ontwerpbureau, manager geluidsstudio, manager concertgebouw, manager castingbureau, manager bibliotheek, manager bewakingsdienst, manager beveiligingsbedrijf, manager architectenbureau, hoofd technische dienst, directeur omroep, directeur gevangenis;;;
1411;Hotelmanagers;yield manager horeca, nachtmanager hotel, manager rooms division, manager hotel, manager congrescentrum;;;
1412;Restaurantmanagers;manager wegrestaurant, manager restaurant, manager ijssalon, manager fastfoodrestaurant, manager cateringbedrijf, manager cafetaria, manager café, manager bar-, dancing, hoofd bedrijfsrestaurant, food and beverage manager;;;
1420;Leidinggevende functies in de detail- en groothandel;veehandelaar, rayonmanager detailhandel, manager webwinkel, manager tuincentrum, manager tankstation, manager supermarkt, manager postorderbedrijf, manager importbedrijf, manager groot- en tussenhandel, manager bouwmarkt, bedrijfsmanager detailhandel;;;
1431;Leidinggevende functies op het gebied van sport en recreatie en bij culturele centra;zakelijk leider orkest, zakelijk leider gezelschap voor podiumkunsten, manager zwembad, sportcomplex, manager waterrecreatiebedrijf, manager vakantiecentrum, manager theater, manager sportschool, manager sauna, beautycenter, manager recreatie-accommodatie, manager manege, manager jeugdherberg, manager instelling voor kunstbeoefening, manager evenementenorganisatie, manager dierentuin, wildpark, manager bioscoop, manager amusementscentrum, attractiepark, golfbaancommissaris;;;
1439;Leidinggevende functies op het gebied van diensten, niet elders geclassificeerd;manager veilingen, manager transportmiddelen-, kraanverhuurbedrijf, manager toeristisch informatiebureau, manager seksinrichting, escortbedrijf, manager schoonheidssalon, manager reisorganisatie, touroperator, manager reisbureau, manager leasemaatschappij voertuigen, manager jachtmakelaarskantoor, manager callcenter, manager autoverhuurbedrijf, districtschef wegenwacht, bedrijfsleider crematorium;;;
2111;Natuurkundigen en astronomen;wetenschappelijk onderzoeker natuurkunde, wetenschappelijk onderzoeker cybernetica, wetenschappelijk onderzoeker astronomie, technisch natuurkundige, natuurkundige, lasertechnoloog, klinisch fysicus, kernfysicus, gezondheidsfysicus, biofysicus, astronoom;;;
2112;Meteorologen;meteoroloog, klimatoloog, klimaatonderzoeker, hoofdmeteoroloog;;;
2113;Chemici;wetenschappelijk onderzoeker scheikunde, scheikundige, research-chemicus, klinisch-chemisch ingenieur, klinisch chemicus, fysisch chemicus, chemicus, biochemicus;;;
2114;Geologen en geofysici;seismoloog, hydroloog, geoloog, geohydroloog, geofysicus, gasgeoloog, fysisch geograaf;;;
2120;Wiskundigen, actuarissen en statistici;wiskundige, wetenschappelijk onderzoeker wiskunde, wetenschappelijk onderzoeker statistiek, wetenschappelijk onderzoeker actuariaat, statistisch onderzoeker, statisticus, methodoloog, actuaris;;;
2131;Biologen, botanici, zoölogen e.d.;wetenschappelijk onderzoeker biologie, viroloog, toxicoloog, patholoog, microbioloog, medisch-microbiologisch ingenieur, ingenieur pathologie, hortulanus, farmacoloog, ecoloog, clinical research associate, biotechnoloog, bioloog, bacterioloog;;;
